time	signal1	signal2	signal3	signal4
0	0.49342821967227146	0.07870992824360115	-1.3146356309080047	1.1934597194120553
1	0.524618011015689	0.791259442034856	-1.321386149543222	-0.07525551639641426
2	-0.02439579912383842	1.0642512765924919	-1.5822836325058083	0.7852293496161125
3	0.21958583419506758	1.0074207451618535	-1.481650611024669	0.1937727858796466
4	0.4268648564616485	0.9431334513211546	-1.521794806563628	-0.4334578671303186
5	-0.7029147011411245	1.1120527249266197	-1.338925148693784	-0.36849117891256356
6	0.6483070330399519	0.6974174586760722	-1.6039525727541952	-0.0675638513392927
7	0.4444033005013973	1.2725067896157178	-1.5656407776688097	0.23888364880989105
8	-0.23042220946403502	0.5938698300814789	-1.7274205809336214	0.12610365367347318
9	0.3642688372777726	1.2199926994426875	-1.7376904390071726	-0.11281231966532201
10	-0.2709154879683875	0.7041735732508236	-2.1662653018010696	1.092490409455751
11	-0.1179403692811687	0.8973194456197497	-2.015399154691773	0.47297301861310065
12	-0.4245745927381052	0.9416420875318774	-1.8959651795146715	0.27030590551054945
13	-0.11378783876270036	0.7512601558529575	-1.6098159511350465	0.29772316318861464
14	0.049934084756567396	1.0429830423092168	-1.8053602664081614	-0.11823582225550684
15	-0.15453018722073317	0.9127643586972484	-1.8612060461515034	-0.8390816034507719
16	0.08543130480262306	0.9044582603826753	-2.1257020217402527	0.33212694717307056
17	-0.21574299944780062	0.9937051020927595	-1.3517849310044736	0.15970266161924587
18	0.35898220221562493	0.7406004023115287	-1.4559904354928928	-0.2683580959533287
19	-0.20105914242177342	0.8696292816027891	-1.6867619137988004	0.13162262080031298
20	-0.2811565536402238	1.1606779027203655	-1.430058265128233	-0.7111160443923908
21	0.4632709806511369	1.356404260305339	-1.194309556612941	0.016584634271946702
22	-0.250279107015663	1.1908956055685298	-1.7088689810536	0.768810767061515
23	0.10971790470749757	1.1755900427709762	-1.4579425613604557	0.49941501133626304
24	0.05663404012481612	1.3347638589969923	-1.5303403972415408	0.342546959663535
25	0.5826748223750435	0.7183867145584747	-1.9845634402872905	0.6500852398755619
26	-0.26996844438246165	1.3657930279532875	-1.7018201795438255	-0.25893259290830545
27	0.5982769502200831	1.2747011513217559	-0.953439216828418	0.6270377137072312
28	-0.1782549490868266	1.3591926004189854	-1.648984094266968	0.5772137935404994
29	0.32983520262555766	0.9529974718431895	-1.3579969530773184	0.6463353043721014
30	0.17240311139671216	0.7672381690508437	-1.458636491534086	0.8669378841939533
31	-0.12493230723886968	0.9540548297100757	-1.6957821323024465	1.1507564861411828
32	0.2596319009586862	1.0636343022464265	-1.802607452738255	0.458408566679341
33	-0.1148022749724604	0.9897485635502409	-1.7561615036836151	0.5368120256286746
34	0.23733188654151507	0.9425157243877925	-1.4162113645453442	-0.4002484791613544
35	-0.33883749733564833	1.0699148273307464	-1.488569614464899	0.5254429864781182
36	0.747117190546634	1.1692643393223427	-1.8388639736908627	0.7874786635486707
37	-0.2853213592055554	0.8926950274175007	-1.5601370693473255	1.110409742249954
38	-0.12332870615714556	0.820929165521726	-1.567398027155107	-0.15010534639173986
39	0.4023571308806571	0.7710677284702633	-1.907727962627322	-0.02458737244586815
