intercept,intercept,checking_account_status_0,checking_account_status_1,checking_account_status_2,duration,credit_history,purpose,credit_amount,savings_0,savings_1,savings_2,savings_3,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,sex,checking_account_exists,savings_account_exists
1,1,-0.6708203932499368,0.49999999999999994,-0.22360679774997902,6,0.6866836236045506,0.8245389864322098,1238.0,-0.6324555320336757,0.5345224838248487,-0.3162277660168377,0.11952286093343946,0.6335555788990985,4.0,0.7235864647523245,0.7005494505494505,4.0,0.7043075829279412,36.0,0.7261538461538461,0.7419928825622776,1.0,0.6921218297353867,2,1,1,1,0,0
1,1,-0.22360679774997894,-0.49999999999999994,0.670820393249937,24,0.6866836236045506,0.7785861673633174,11560.0,-0.31622776601683794,-0.2672612419124245,0.6324555320336761,-0.47809144373375784,0.7045611311849233,1.0,0.6693406121148093,0.7005494505494505,4.0,0.6983453103597703,23.0,0.7261538461538461,0.625,2.0,0.6921218297353867,1,0,1,0,1,1
1,1,-0.6708203932499368,0.49999999999999994,-0.22360679774997902,24,0.6866836236045506,0.6805505287917223,2835.0,2.7755575615628907e-17,-0.5345224838248488,2.4980018054066027e-16,0.7171371656006363,0.7272984196920017,3.0,0.7235864647523245,0.7005494505494505,4.0,0.7043075829279412,53.0,0.7261538461538461,0.7419928825622776,1.0,0.6995580668562515,1,0,1,1,0,1
1,1,0.223606797749979,-0.5000000000000002,-0.6708203932499368,12,0.8051127053968411,0.66575450774055,4843.0,-0.31622776601683794,-0.2672612419124245,0.6324555320336761,-0.47809144373375784,0.7272984196920017,3.0,0.7235864647523245,0.5172413793103449,4.0,0.7043075829279412,43.0,0.7261538461538461,0.625,2.0,0.6995580668562515,1,1,1,1,1,1
1,1,0.223606797749979,-0.5000000000000002,-0.6708203932499368,15,0.8051127053968411,0.6805505287917223,975.0,-0.31622776601683794,-0.2672612419124245,0.6324555320336761,-0.47809144373375784,0.7045611311849233,2.0,0.6531455209149938,0.7005494505494505,3.0,0.7043075829279412,25.0,0.7261538461538461,0.7419928825622776,2.0,0.6995580668562515,1,0,1,1,1,1
1,1,0.223606797749979,-0.5000000000000002,-0.6708203932499368,30,0.8051127053968411,0.7785861673633174,6187.0,0.31622776601683794,-0.2672612419124246,-0.6324555320336761,-0.47809144373375706,0.741201452751385,1.0,0.708985215717965,0.7005494505494505,4.0,0.6983453103597703,24.0,0.7261538461538461,0.625,2.0,0.6995580668562515,1,0,1,1,1,1
1,1,-0.22360679774997894,-0.49999999999999994,0.670820393249937,24,0.6970683513635425,0.6754601969723317,6967.0,0.31622776601683794,-0.2672612419124246,-0.6324555320336761,-0.47809144373375706,0.741201452751385,4.0,0.7235864647523245,0.7005494505494505,4.0,0.6983453103597703,36.0,0.7261538461538461,0.625,1.0,0.6921218297353867,1,1,1,1,1,1
1,1,0.223606797749979,-0.5000000000000002,-0.6708203932499368,15,0.4679815937821387,0.66575450774055,950.0,-0.31622776601683794,-0.2672612419124245,0.6324555320336761,-0.47809144373375784,0.7272984196920017,4.0,0.7235864647523245,0.7005494505494505,3.0,0.6983453103597703,33.0,0.7261538461538461,0.625,2.0,0.6995580668562515,2,0,1,1,1,1
1,1,-0.6708203932499368,0.49999999999999994,-0.22360679774997902,24,0.6866836236045506,0.7546061580842799,2397.0,2.7755575615628907e-17,-0.5345224838248488,2.4980018054066027e-16,0.7171371656006363,0.7272984196920017,3.0,0.7235864647523245,0.7005494505494505,2.0,0.6983453103597703,35.0,0.584070796460177,0.7419928825622776,2.0,0.6995580668562515,1,1,1,1,0,1
1,1,-0.6708203932499368,0.49999999999999994,-0.22360679774997902,24,0.6970683513635425,0.6754601969723317,8648.0,-0.31622776601683794,-0.2672612419124245,0.6324555320336761,-0.47809144373375784,0.6406262798962372,2.0,0.7235864647523245,0.7005494505494505,2.0,0.6983453103597703,27.0,0.584070796460177,0.7419928825622776,2.0,0.6995580668562515,1,1,1,1,0,1
1,1,-0.22360679774997894,-0.49999999999999994,0.670820393249937,12,0.6866836236045506,0.7546061580842799,1103.0,-0.31622776601683794,-0.2672612419124245,0.6324555320336761,-0.47809144373375784,0.741201452751385,4.0,0.7235864647523245,0.8372093023255814,3.0,0.7714590159329857,29.0,0.7261538461538461,0.7419928825622776,2.0,0.6995580668562515,1,0,0,1,1,1
1,1,0.223606797749979,-0.5000000000000002,-0.6708203932499368,6,0.6866836236045506,0.6805505287917223,1374.0,-0.31622776601683794,-0.2672612419124245,0.6324555320336761,-0.47809144373375784,0.7045611311849233,1.0,0.7235864647523245,0.7005494505494505,2.0,0.7714590159329857,36.0,0.584070796460177,0.7419928825622776,1.0,0.7075985862388314,1,1,1,1,1,1
1,1,-0.22360679774997894,-0.49999999999999994,0.670820393249937,36,0.6866836236045506,0.5934315733421338,3711.0,-0.6324555320336757,0.5345224838248487,-0.3162277660168377,0.11952286093343946,0.7045611311849233,2.0,0.708985215717965,0.7005494505494505,2.0,0.6983453103597703,27.0,0.7261538461538461,0.7419928825622776,1.0,0.6995580668562515,1,0,1,1,1,0
1,1,-0.22360679774997894,-0.49999999999999994,0.670820393249937,20,0.6866836236045506,0.7785861673633174,6468.0,-0.6324555320336757,0.5345224838248487,-0.3162277660168377,0.11952286093343946,0.6335555788990985,1.0,0.6531455209149938,0.7005494505494505,4.0,0.7714590159329857,60.0,0.7261538461538461,0.7419928825622776,1.0,0.6921218297353867,1,1,1,1,1,0
1,1,-0.6708203932499368,0.49999999999999994,-0.22360679774997902,12,0.8051127053968411,0.5934315733421338,701.0,-0.31622776601683794,-0.2672612419124245,0.6324555320336761,-0.47809144373375784,0.7045611311849233,4.0,0.7235864647523245,0.7005494505494505,2.0,0.6983453103597703,32.0,0.7261538461538461,0.7419928825622776,2.0,0.6995580668562515,1,0,1,1,0,1
1,1,0.6708203932499369,0.5000000000000002,0.2236067977499789,12,0.6970683513635425,0.66575450774055,2247.0,-0.31622776601683794,-0.2672612419124245,0.6324555320336761,-0.47809144373375784,0.7045611311849233,2.0,0.6693406121148093,0.7005494505494505,2.0,0.6983453103597703,36.0,0.6216216216216216,0.7419928825622776,2.0,0.6995580668562515,1,1,1,0,1,1
1,1,-0.22360679774997894,-0.49999999999999994,0.670820393249937,24,0.6866836236045506,0.7546061580842799,5084.0,-0.6324555320336757,0.5345224838248487,-0.3162277660168377,0.11952286093343946,0.7272984196920017,2.0,0.6693406121148093,0.7005494505494505,4.0,0.6983453103597703,42.0,0.7261538461538461,0.7419928825622776,1.0,0.6995580668562515,1,1,1,0,1,0
1,1,0.223606797749979,-0.5000000000000002,-0.6708203932499368,18,0.48912746641113264,0.66575450774055,1442.0,-0.31622776601683794,-0.2672612419124245,0.6324555320336761,-0.47809144373375784,0.741201452751385,4.0,0.7235864647523245,0.7005494505494505,4.0,0.5847562173989321,32.0,0.7261538461538461,0.574468085106383,2.0,0.7075985862388314,2,0,1,1,1,1
1,1,-0.22360679774997894,-0.49999999999999994,0.670820393249937,15,0.8051127053968411,0.7546061580842799,1537.0,-0.6324555320336757,0.5345224838248487,-0.3162277660168377,0.11952286093343946,0.7272984196920017,4.0,0.7235864647523245,0.8372093023255814,4.0,0.7714590159329857,50.0,0.7261538461538461,0.7419928825622776,2.0,0.6995580668562515,1,1,1,1,1,0
1,1,0.223606797749979,-0.5000000000000002,-0.6708203932499368,24,0.48912746641113264,0.6805505287917223,3552.0,-0.31622776601683794,-0.2672612419124245,0.6324555320336761,-0.47809144373375784,0.741201452751385,3.0,0.7235864647523245,0.7005494505494505,4.0,0.6983453103597703,27.0,0.584070796460177,0.7419928825622776,1.0,0.6995580668562515,1,0,1,1,1,1
1,1,0.223606797749979,-0.5000000000000002,-0.6708203932499368,24,0.6866836236045506,0.66575450774055,1442.0,-0.31622776601683794,-0.2672612419124245,0.6324555320336761,-0.47809144373375784,0.741201452751385,4.0,0.6693406121148093,0.7005494505494505,4.0,0.6983453103597703,23.0,0.7261538461538461,0.625,2.0,0.6995580668562515,1,0,1,0,1,1
