checking_account_status_0,checking_account_status_1,checking_account_status_2,duration,credit_history,purpose,credit_amount,savings_0,savings_1,savings_2,savings_3,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,sex,checking_account_exists,savings_account_exists
0,0,1,6,0.6817565165876778,0.8556944444444444,1238.0,0,0,0,1,0.6106648936170214,4.0,0.7278451276102088,0.7005504115226338,4.0,0.7048980978260869,36.0,0.7261155913978495,0.741920515097691,1.0,0.6903618421052632,2,1,1,1,0,0
0,1,0,24,0.6817565165876778,0.8147869318181818,11560.0,0,0,1,0,0.7056437969924811,1.0,0.6628507905138339,0.7005504115226338,4.0,0.6977741635687732,23.0,0.7261155913978495,0.6255258620689655,2.0,0.6903618421052632,1,0,1,0,1,1
0,0,1,24,0.6817565165876778,0.6669051724137931,2835.0,0,0,1,1,0.7354126794258372,3.0,0.7278451276102088,0.7005504115226338,4.0,0.7048980978260869,53.0,0.7261155913978495,0.741920515097691,1.0,0.699222709551657,1,0,1,1,0,1
0,1,1,12,0.8306775210084033,0.6416283783783784,4843.0,0,0,1,0,0.7354126794258372,3.0,0.7278451276102088,0.523375,4.0,0.7048980978260869,43.0,0.7261155913978495,0.6255258620689655,2.0,0.699222709551657,1,1,1,1,1,1
0,1,1,15,0.8306775210084033,0.6669051724137931,975.0,0,0,1,0,0.7056437969924811,2.0,0.6442151162790698,0.7005504115226338,3.0,0.7048980978260869,25.0,0.7261155913978495,0.741920515097691,2.0,0.699222709551657,1,0,1,1,1,1
0,1,1,30,0.8306775210084033,0.8147869318181818,6187.0,0,1,0,0,0.7531555944055944,1.0,0.7104058441558442,0.7005504115226338,4.0,0.6977741635687732,24.0,0.7261155913978495,0.6255258620689655,2.0,0.699222709551657,1,0,1,1,1,1
0,1,0,24,0.6957321428571429,0.6584577922077922,6967.0,0,1,0,0,0.7531555944055944,4.0,0.7278451276102088,0.7005504115226338,4.0,0.6977741635687732,36.0,0.7261155913978495,0.6255258620689655,1.0,0.6903618421052632,1,1,1,1,1,1
0,1,1,15,0.3914642857142857,0.6416283783783784,950.0,0,0,1,0,0.7354126794258372,4.0,0.7278451276102088,0.7005504115226338,3.0,0.6977741635687732,33.0,0.7261155913978495,0.6255258620689655,2.0,0.699222709551657,2,0,1,1,1,1
0,0,1,24,0.6817565165876778,0.7828248898678414,2397.0,0,0,1,1,0.7354126794258372,3.0,0.7278451276102088,0.7005504115226338,2.0,0.6977741635687732,35.0,0.5850986842105264,0.741920515097691,2.0,0.699222709551657,1,1,1,1,0,1
0,0,1,24,0.6957321428571429,0.6584577922077922,8648.0,0,0,1,0,0.6192946428571429,2.0,0.7278451276102088,0.7005504115226338,2.0,0.6977741635687732,27.0,0.5850986842105264,0.741920515097691,2.0,0.699222709551657,1,1,1,1,0,1
0,1,0,12,0.6817565165876778,0.7828248898678414,1103.0,0,0,1,0,0.7531555944055944,4.0,0.7278451276102088,0.8341193181818182,3.0,0.7834136771300448,29.0,0.7261155913978495,0.741920515097691,2.0,0.699222709551657,1,0,0,1,1,1
0,1,1,6,0.6817565165876778,0.6669051724137931,1374.0,0,0,1,0,0.7056437969924811,1.0,0.7278451276102088,0.7005504115226338,2.0,0.7834136771300448,36.0,0.5850986842105264,0.741920515097691,1.0,0.708812893081761,1,1,1,1,1,1
0,1,0,36,0.6817565165876778,0.51753125,3711.0,0,0,0,1,0.7056437969924811,2.0,0.7104058441558442,0.7005504115226338,2.0,0.6977741635687732,27.0,0.7261155913978495,0.741920515097691,1.0,0.699222709551657,1,0,1,1,1,0
0,1,0,20,0.6817565165876778,0.8147869318181818,6468.0,0,0,0,1,0.6106648936170214,1.0,0.6442151162790698,0.7005504115226338,4.0,0.7834136771300448,60.0,0.7261155913978495,0.741920515097691,1.0,0.6903618421052632,1,1,1,1,1,0
0,0,1,12,0.8306775210084033,0.51753125,701.0,0,0,1,0,0.7056437969924811,4.0,0.7278451276102088,0.7005504115226338,2.0,0.6977741635687732,32.0,0.7261155913978495,0.741920515097691,2.0,0.699222709551657,1,0,1,1,0,1
1,0,0,12,0.6957321428571429,0.6416283783783784,2247.0,0,0,1,0,0.7056437969924811,2.0,0.6628507905138339,0.7005504115226338,2.0,0.6977741635687732,36.0,0.6237171052631579,0.741920515097691,2.0,0.699222709551657,1,1,1,0,1,1
0,1,0,24,0.6817565165876778,0.7828248898678414,5084.0,0,0,0,1,0.7354126794258372,2.0,0.6628507905138339,0.7005504115226338,4.0,0.6977741635687732,42.0,0.7261155913978495,0.741920515097691,1.0,0.699222709551657,1,1,1,0,1,0
0,1,1,18,0.41753125,0.6416283783783784,1442.0,0,0,1,0,0.7531555944055944,4.0,0.7278451276102088,0.7005504115226338,4.0,0.560166015625,32.0,0.7261155913978495,0.5758026315789474,2.0,0.708812893081761,2,0,1,1,1,1
